comparison_type	section	disease	left_trait	right_trait	rg	rg_se	left_h2	left_h2_se	right_h2	right_h2_se	left_source_url	right_source_identifier	right_source_url	intercept_gencov	intercept_gencov_se	intercept_left_h2	intercept_left_h2_se	intercept_right_h2	intercept_right_h2_se	intercept_constrained	overlap_status	archive_status	notes	ldsc_version	intercept_command_mode	log_file	run_status
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_EHR_PGC2025	ADHD	0.6286	0.02	0.0474	0.0016	0.164	0.0073	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	PGC ADHD 2023 European release; Figshare file 40036684	NA	0.1361	0.0087	1.0246	0.014	1.0302	0.0098	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_EHR_PGC2025__ADHD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_EHR_PGC2025	AN	0.2661	0.0305	0.0474	0.0016	0.2494	0.0166	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	Watson et al. 2019 anorexia nervosa European summary statistics	NA	0.0656	0.0085	1.0134	0.0165	1.0171	0.0115	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_EHR_PGC2025__AN.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_EHR_PGC2025	ANX	0.9172	0.0133	0.0474	0.0016	0.0776	0.0028	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	PGC anxiety meta-analysis excluding UTAH; Figshare article 31389910, file 62089324; doi:10.6084/m9.figshare.31389910.v1	NA	0.2093	0.0093	1.0317	0.0128	1.0487	0.0093	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_EHR_PGC2025__ANX.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_EHR_PGC2025	ASD	0.3194	0.0327	0.0474	0.0016	0.2035	0.0178	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	Grove et al. 2019 ASD European summary statistics	NA	0.0874	0.0077	1.021	0.0156	1.0097	0.0096	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_EHR_PGC2025__ASD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_EHR_PGC2025	AUD	0.5913	0.0232	0.0474	0.0016	0.085	0.0035	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	Nature Medicine 2023 European AUD meta-analysis; AUD_EUR_Aug2023.txt.gz	NA	0.0846	0.0063	1.0309	0.0125	1.0466	0.0071	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_EHR_PGC2025__AUD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_EHR_PGC2025	BD_PGC2021	0.4701	0.0206	0.0474	0.0016	0.2788	0.0114	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	PGC bipolar disorder 2021 summary statistics	NA	0.0492	0.009	1.0228	0.0141	1.0354	0.0111	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_EHR_PGC2025__BD_PGC2021.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_EHR_PGC2025	CUD_2023_EUR	0.5151	0.0243	0.0474	0.0016	0.0874	0.0045	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	2023 European CUD meta-analysis	NA	0.0819	0.0074	1.0311	0.0127	0.9954	0.009	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_EHR_PGC2025__CUD_2023_EUR.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_EHR_PGC2025	OCD_2025	0.5237	0.0281	0.0474	0.0016	0.3164	0.0203	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	2025 OCD GWAS, non-23andMe leave-UKB-out file	NA	0.0926	0.0064	1.0311	0.0127	1.0235	0.0073	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_EHR_PGC2025__OCD_2025.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_EHR_PGC2025	PTSD	0.9467	0.013	0.0474	0.0016	0.0543	0.0023	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	PGC PTSD Freeze 3 European case-control; Figshare article 26349322, file 52065146; doi:10.6084/m9.figshare.26349322.v3	NA	0.263	0.0095	1.0316	0.0133	1.0336	0.0098	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_EHR_PGC2025__PTSD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_EHR_PGC2025	SCZ_PGC2022	0.3694	0.0195	0.0474	0.0016	0.3876	0.0136	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	PGC schizophrenia wave 3 European summary statistics	https://figshare.com/articles/dataset/scz2022/19426775/7	0.0381	0.0088	1.0242	0.0132	1.0804	0.0159	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_EHR_PGC2025__SCZ_PGC2022.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_FINNGEN_R13	ADHD	0.4905	0.0274	0.041	0.0021	0.164	0.0073	https://r13.risteys.finngen.fi/endpoints/F5_DEPRESSIO	PGC ADHD 2023 European release; Figshare file 40036684	NA	0.0038	0.0076	1.1219	0.0121	1.0265	0.0098	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_FINNGEN_R13__ADHD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_FINNGEN_R13	AN	0.2952	0.0364	0.041	0.0021	0.2494	0.0166	https://r13.risteys.finngen.fi/endpoints/F5_DEPRESSIO	Watson et al. 2019 anorexia nervosa European summary statistics	NA	0.0121	0.0078	1.1122	0.0133	1.0213	0.0113	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_FINNGEN_R13__AN.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_FINNGEN_R13	ANX	0.7792	0.0221	0.041	0.0021	0.0776	0.0028	https://r13.risteys.finngen.fi/endpoints/F5_DEPRESSIO	PGC anxiety meta-analysis excluding UTAH; Figshare article 31389910, file 62089324; doi:10.6084/m9.figshare.31389910.v1	NA	0.0944	0.0073	1.1196	0.0105	1.0454	0.0093	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_FINNGEN_R13__ANX.log	log_parsed
