Annotation	annotation_key	annotation_basename	annotation_class	published_label	domain	raw_covariance_PGC	raw_covariance_FinnGen	delta_FinnGen_minus_PGC	SE	z	P_two_sided	alpha_domain_29	Bonferroni_significant_domain_29	QC_model_warning_free	QC_zsmooth_ok	QC_primary_eligible	Bonferroni_significant_domain_29_primary	Annotation_model_warning	Annotation_model_error	Z_smooth_PGC	Z_smooth_FinnGen	max_abs_Z_smooth	contrast_status	finite_contrast	covariance_condition_number
PI_x_ENDL2	PI_x_END	PI_x_ENDL2	custom	PI x Endothelial Cells	INT	0.00275886914574765	0.00127379080937881	-0.00148507833636884	0.00120475545380264	-1.23268031838445	0.217695057663064	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.749222712604719	0.749222712604719	0.749222712604719	sandwich captured	TRUE	9.42542195065288
PI_x_ENDL2	PI_x_END	PI_x_ENDL2	custom	PI x Endothelial Cells	SUD	0.00151403759255252	-0.000378788401161505	-0.00189282599371402	0.00100802874682047	-1.87775001425741	0.0604153712307889	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.749222712604719	0.749222712604719	0.749222712604719	sandwich captured	TRUE	9.42542195065288
PI_x_GABA1L2	PI_x_GABA1	PI_x_GABA1L2	custom	PI x GABA1	COMP	0.005567835302124	0.00177454823953816	-0.00379328706258584	0.00242591977278372	-1.56364901475413	0.117900017367992	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.62300809682783	0.62300809682783	0.62300809682783	sandwich captured	TRUE	11.4884229679973
PI_x_GABA1L2	PI_x_GABA1	PI_x_GABA1L2	custom	PI x GABA1	INT	0.00389336377822119	0.0025574338722398	-0.00133592990598139	0.000997812012534197	-1.33885931337753	0.180616477171555	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.62300809682783	0.62300809682783	0.62300809682783	sandwich captured	TRUE	11.4884229679973
PI_x_GABA1L2	PI_x_GABA1	PI_x_GABA1L2	custom	PI x GABA1	SUD	0.00132676161170319	0.000177523210141962	-0.00114923840156123	0.000939228347692682	-1.2235985044366	0.221103724077515	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.62300809682783	0.62300809682783	0.62300809682783	sandwich captured	TRUE	11.4884229679973
PI_x_GABA2L2	PI_x_GABA2	PI_x_GABA2L2	custom	PI x GABA2	COMP	0.00700949366632162	0.00504345161440631	-0.00196604205191531	0.00285474627956714	-0.688692394832867	0.491016863105903	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.57537587468936	0.57537587468936	0.57537587468936	sandwich captured	TRUE	11.5963477536421
PI_x_GABA2L2	PI_x_GABA2	PI_x_GABA2L2	custom	PI x GABA2	INT	0.0052088256499025	0.0023510348440535	-0.002857790805849	0.0012740852699711	-2.24301377090234	0.0248959264953148	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.57537587468936	0.57537587468936	0.57537587468936	sandwich captured	TRUE	11.5963477536421
PI_x_GABA2L2	PI_x_GABA2	PI_x_GABA2L2	custom	PI x GABA2	SUD	0.00273792996588235	-0.000412255482176177	-0.00315018544805853	0.00110679220507924	-2.84623024412517	0.00442401944836821	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.57537587468936	0.57537587468936	0.57537587468936	sandwich captured	TRUE	11.5963477536421
PI_x_MGL2	PI_x_MG	PI_x_MGL2	custom	PI x Microglia	COMP	NA	NA	NA	NA	NA	NA	0.00172413793103448	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1.34022240055243	1.34022240055243	1.34022240055243	no sandwich capture	FALSE	NA
PI_x_MGL2	PI_x_MG	PI_x_MGL2	custom	PI x Microglia	INT	NA	NA	NA	NA	NA	NA	0.00172413793103448	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1.34022240055243	1.34022240055243	1.34022240055243	no sandwich capture	FALSE	NA
