Annotation	annotation_key	annotation_basename	annotation_class	published_label	domain	PGC_enrichment	FinnGen_enrichment	delta_FinnGen_minus_PGC	SE	z	P_two_sided	alpha_492	Bonferroni_significant_492	Annotation_model_warning	Annotation_model_error	QC_warning_free	contrast_status	PGC_enrichment_from_enrich	FinnGen_enrichment_from_enrich	Bonferroni_significant_492_warning_free
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.64.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.64.	Roadmap.64.	chromatin	Inferior Temporal Lobe H3K27ac	COMP	4.33336475941769	2.50212487428176	-1.83123988513593	1.65203495898073	-1.10847526269406	0.267656616740157	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	4.33336475941769	2.50212487428176	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.64.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.64.	Roadmap.64.	chromatin	Inferior Temporal Lobe H3K27ac	INT	3.37009454149035	4.25312448389632	0.88302994240597	1.96061844965119	0.450383368861529	0.652434034803205	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	3.37009454149035	4.25312448389632	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.64.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.64.	Roadmap.64.	chromatin	Inferior Temporal Lobe H3K27ac	SUD	4.56155572184123	-43.0128096305199	-47.5743653523611	40.2287776743588	-1.18259534847076	0.236969556889167	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	4.56155572184123	-43.0128096305199	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.65.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.65.	Roadmap.65.	chromatin	dLPFC H3K27ac	COMP	5.90102915725689	2.59918775738113	-3.30184139987576	2.19740037331478	-1.50261255981082	0.132938982671835	0.000101626016260163	FALSE	TRUE	FALSE	FALSE	sandwich captured	5.90102915725689	2.59918775738113	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.65.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.65.	Roadmap.65.	chromatin	dLPFC H3K27ac	INT	5.12135829018745	3.84220490004275	-1.27915339014469	2.64747665823713	-0.483159459089033	0.628982518463077	0.000101626016260163	FALSE	TRUE	FALSE	FALSE	sandwich captured	5.12135829018745	3.84220490004275	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.65.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.65.	Roadmap.65.	chromatin	dLPFC H3K27ac	SUD	4.34843992929844	-7.08868729134492	-11.4371272206434	46.260713349008	-0.247231968395244	0.804728705868446	0.000101626016260163	FALSE	TRUE	FALSE	FALSE	sandwich captured	4.34843992929844	-7.08868729134491	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.66.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.66.	Roadmap.66.	chromatin	Substantia Nigra H3K27ac	COMP	4.75667609336585	4.30220919164017	-0.454466901725686	1.69816888708138	-0.267621733729189	0.788990499911728	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	4.75667609336585	4.30220919164016	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.66.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.66.	Roadmap.66.	chromatin	Substantia Nigra H3K27ac	INT	3.10259709969785	-0.0891874690026925	-3.19178456870055	1.80516566380809	-1.76813941938565	0.0770375988453866	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	3.10259709969785	-0.0891874690026925	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.66.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.66.	Roadmap.66.	chromatin	Substantia Nigra H3K27ac	SUD	3.16132381605718	-32.7162358654581	-35.8775596815153	37.114444274103	-0.966673767672421	0.333707144778477	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	3.16132381605718	-32.7162358654581	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.71.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.71.	Roadmap.71.	chromatin	Fetal Adrenal Gland H3K27ac	COMP	3.46833071847539	3.84425068821589	0.375919969740496	1.47933882728908	0.25411350179281	0.799407872747352	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	3.46833071847539	3.84425068821589	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.71.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.71.	Roadmap.71.	chromatin	Fetal Adrenal Gland H3K27ac	INT	2.79748321116108	2.91608233117189	0.118599120010811	1.86095942204009	0.0637300945986213	0.949185141423279	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	2.79748321116108	2.91608233117189	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.71.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.71.	Roadmap.71.	chromatin	Fetal Adrenal Gland H3K27ac	SUD	2.48732991176469	-35.7644170461271	-38.2517469578918	36.1706409946638	-1.05753577780209	0.290267135063601	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	2.48732991176469	-35.7644170461271	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.83.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.83.	Roadmap.83.	chromatin	Ovary H3K27ac	COMP	3.61233546643885	2.13235060617026	-1.47998486026859	2.65725107140523	-0.556960866887874	0.577554166608417	0.000101626016260163	FALSE	TRUE	FALSE	FALSE	sandwich captured	3.61233546643885	2.13235060617026	FALSE
